DECK;#;Nome da Carta;Tipo;Nível;Efeito;Ataque;Defesa;Cura;Char Count;Descrição da Imagem (Prompt IA)
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;12;Escudo de Casca;Defesa;Baixo;🛡️×3. Ao ser destruído, cure 1 de vida.;;3;1;39  ✓;Escudo de madeira viva com raízes entrelaçadas e folhas brilhando suavemente. Proteção natural orgânica. Clareira ao fundo.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;13;Muralha de Espinhos;Defesa;Baixo;🛡️×2. Ao ser destruído, cause 1 de dano ao atacante.;;2;;52  ✓;Parede densa de espinhos negros com gotas de orvalho que parecem sangue. Ameaçadora e defensiva. Floresta escura ao fundo.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;14;Muralha de Espinhos;Defesa;Baixo;🛡️×2. Ao ser destruído, cause 1 de dano ao atacante.;;2;;52  ✓;Parede densa de espinhos negros com gotas de orvalho que parecem sangue. Ameaçadora e defensiva. Floresta escura ao fundo.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;15;Raiz Anciã;Defesa;Médio;🛡️×4. Permanente até ser destruído.;;4;;35  ✓;Raízes gigantescas de árvore milenar emergindo do chão, formando barreira viva impenetrável. Textura de madeira rica e densa.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;16;Seiva Curativa;Cura;Baixo;Cure 3 de vida.;;;3;15  ✓;Frasco de madeira com seiva dourada brilhando como mel, pingos caindo em folhas. Clareira iluminada pela manhã.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;17;Seiva Curativa;Cura;Baixo;Cure 3 de vida.;;;3;15  ✓;Frasco de madeira com seiva dourada brilhando como mel, pingos caindo em folhas. Clareira iluminada pela manhã.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;18;Círculo de Renovação;Cura;Baixo;Cure 2 de vida em si mesmo e em um aliado.;;;2;42  ✓;Círculo de pedras antigas em clareira, raízes luminosas formando símbolos druídicos no chão. Luz suave e etérea.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;19;Círculo de Renovação;Cura;Baixo;Cure 2 de vida em si mesmo e em um aliado.;;;2;42  ✓;Círculo de pedras antigas em clareira, raízes luminosas formando símbolos druídicos no chão. Luz suave e etérea.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;20;Bênção da Floresta;Cura;Baixo;Cure 1 de vida. Compre 1 carta.;;;1;31  ✓;Folhas caindo suavemente sobre viajante cansado, luz solar filtrada pelas copas das árvores. Sensação de renovação e paz.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;21;Bênção da Floresta;Cura;Baixo;Cure 1 de vida. Compre 1 carta.;;;1;31  ✓;Folhas caindo suavemente sobre viajante cansado, luz solar filtrada pelas copas das árvores. Sensação de renovação e paz.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;22;Espírito da Floresta;Cura;Médio;Cure 5 de vida.;;;5;15  ✓;Forma etérea feminina de folhas e luz, cercada por espíritos animais (lobo, coruja, cervo). Floresta encantada ao fundo.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;23;Ciclo das Estações;Habilidade;Baixo;Compre 2 cartas. Depois jogue 1 carta adicional neste turno.;;;;60  ✓;Quatro símbolos em círculo: folha verde, sol dourado, fruto vermelho, cristal de gelo. Transições suaves entre estações.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;24;Ciclo das Estações;Habilidade;Baixo;Compre 2 cartas. Depois jogue 1 carta adicional neste turno.;;;;60  ✓;Quatro símbolos em círculo: folha verde, sol dourado, fruto vermelho, cristal de gelo. Transições suaves entre estações.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;25;Comunhão com a Natureza;Habilidade;Baixo;Olhe as 3 cartas do topo do baralho. Coloque 1 na mão, as demais de volta em qualquer ordem.;;;;92  ✓;Druida ajoelhado tocando o chão, raízes luminosas conectando às mãos. Cartas como folhas flutuando na visão.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;26;Comunhão com a Natureza;Habilidade;Baixo;Olhe as 3 cartas do topo do baralho. Coloque 1 na mão, as demais de volta em qualquer ordem.;;;;92  ✓;Druida ajoelhado tocando o chão, raízes luminosas conectando às mãos. Cartas como folhas flutuando na visão.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;27;Pacto Druídico;Habilidade;Médio;Recupere 1 carta do descarte e jogue-a imediatamente.;;;;53  ✓;Símbolo druídico brilhando em verde, mãos invocando uma carta do descarte com raízes que a puxam de volta ao presente.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;28;Lamento da Floresta;Habilidade;Médio;Todos os oponentes descartam 1 carta. Você compra 1 carta.;;;;58  ✓;Árvores chorando seiva escura, vento sacudindo folhas, expressão de tristeza na paisagem florestal noturna. Lua vermelha.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;29;Fúria Primal;Especial;Alto;Jogue mais 1 carta neste turno. Todos os seus ataques neste turno causam +1 de dano.;;;;84  ✓;Druida em transe com olhos verdes intensos, cabelos e vestes flutuando em vendaval de força natural. Clareira de poder.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;30;Despertar da Floresta;Especial;Alto;Cause 3 de dano a um oponente. Cure 3 de vida. Compre 1 carta.;3;;3;62  ✓;Árvore anciã despertando, raízes se movendo como tentáculos, folhas em espiral. Luz dourada da manhã inundando a cena.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;1;Espinho Curativo;Ataque;Baixo;Cause 2 de dano. Cure 1 de vida.;2;;1;32  ✓;Espinho esmeralda lançado deixando rastro de luz curativa. Dríade sorridente ao fundo entre flores. Floresta iluminada.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;2;Espinho Curativo;Ataque;Baixo;Cause 2 de dano. Cure 1 de vida.;2;;1;32  ✓;Espinho esmeralda lançado deixando rastro de luz curativa. Dríade sorridente ao fundo entre flores. Floresta iluminada.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;3;Espinho Curativo;Ataque;Baixo;Cause 2 de dano. Cure 1 de vida.;2;;1;32  ✓;Espinho esmeralda lançado deixando rastro de luz curativa. Dríade sorridente ao fundo entre flores. Floresta iluminada.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;4;Enredar;Ataque;Baixo;Cause 1 de dano. O oponente não pode jogar cartas de ataque no próximo turno.;1;;;77  ✓;Raízes finas envolvendo braços e pernas de guerreiro, folhas verdes brilhando suavemente. Floresta densa ao fundo.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;5;Enredar;Ataque;Baixo;Cause 1 de dano. O oponente não pode jogar cartas de ataque no próximo turno.;1;;;77  ✓;Raízes finas envolvendo braços e pernas de guerreiro, folhas verdes brilhando suavemente. Floresta densa ao fundo.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;6;Florescer;Ataque;Baixo;Cause 2 de dano. Se você curou alguém neste turno, cause +2 (total 4).;2;;;70  ✓;Flores desabrochando em explosão de pólen dourado, pétalas formando lâminas giratórias. Luz solar filtrada pela copa.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;7;Florescer;Ataque;Baixo;Cause 2 de dano. Se você curou alguém neste turno, cause +2 (total 4).;2;;;70  ✓;Flores desabrochando em explosão de pólen dourado, pétalas formando lâminas giratórias. Luz solar filtrada pela copa.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;8;Chuva de Pétalas;Ataque;Médio;Cause 3 de dano em todos os oponentes. Cure 1 de vida por oponente atingido.;3;;1;76  ✓;Pétalas caindo em espiral, cada uma brilhando como lâmina e curando ao tocar o chão. Atmosfera de renovação e poder.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;9;Chuva de Pétalas;Ataque;Médio;Cause 3 de dano em todos os oponentes. Cure 1 de vida por oponente atingido.;3;;1;76  ✓;Pétalas caindo em espiral, cada uma brilhando como lâmina e curando ao tocar o chão. Atmosfera de renovação e poder.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;10;Seiva Curativa (Ataque);Ataque;Médio;Cause 2 de dano. Cure 3 de vida.;2;;3;32  ✓;Mãos de dríade vertendo seiva dourada tocando flor desabrochando. Ambiente de clareira sagrada com luz dourada intensa.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;11;Casca Protetora;Defesa;Baixo;🛡️×3. Quando destruída, cure 1 de vida.;;3;1;39  ✓;Casca de árvore antiga formando escudo, musgo e liquens crescendo na superfície. Textura rica e viva de madeira centenária.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;12;Casca Protetora;Defesa;Baixo;🛡️×3. Quando destruída, cure 1 de vida.;;3;1;39  ✓;Casca de árvore antiga formando escudo, musgo e liquens crescendo na superfície. Textura rica e viva de madeira centenária.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;13;Muralha Verde;Defesa;Baixo;🛡️×2. Pode proteger um aliado (transferir dano para esta defesa).;;2;;65  ✓;Parede de folhas entrelaçadas com luz esverdeada, pequenas flores brancas surgindo entre as folhas. Sensação de união.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;14;Muralha Verde;Defesa;Baixo;🛡️×2. Pode proteger um aliado (transferir dano para esta defesa).;;2;;65  ✓;Parede de folhas entrelaçadas com luz esverdeada, pequenas flores brancas surgindo entre as folhas. Sensação de união.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;15;Coroa de Espinhos;Defesa;Médio;🛡️×4. Ao ser destruída, cause 2 de dano ao atacante.;;4;;52  ✓;Coroa de espinhos entrelaçados com flores vermelhas, espinhos brilhando em vermelho ao receber dano. Sacrifício e beleza.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;16;Néctar Sagrado;Cura;Baixo;Cure 3 de vida em você ou em um aliado.;;;3;39  ✓;Taça de madeira entalhada com néctar dourado brilhando, pingos caindo em gotas luminosas. Luz quente e acolhedora.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;17;Néctar Sagrado;Cura;Baixo;Cure 3 de vida em você ou em um aliado.;;;3;39  ✓;Taça de madeira entalhada com néctar dourado brilhando, pingos caindo em gotas luminosas. Luz quente e acolhedora.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;18;Abraço da Dríade;Cura;Baixo;Cure 2 de vida. O aliado curado compra 1 carta.;;;2;47  ✓;Dríade envolvendo viajante em braços de folhas e galhos, luz verde curativa envolvendo os dois. Bosque sagrado ao fundo.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;19;Abraço da Dríade;Cura;Baixo;Cure 2 de vida. O aliado curado compra 1 carta.;;;2;47  ✓;Dríade envolvendo viajante em braços de folhas e galhos, luz verde curativa envolvendo os dois. Bosque sagrado ao fundo.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;20;Renovação;Cura;Baixo;Cure 1 de vida. Se você curou alguém neste turno, cure +3 (total 4).;;;1;68  ✓;Folha seca se transformando em broto verde, gotas de orvalho brilhando sob o sol da manhã. Ciclo de renovação da natureza.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;21;Renovação;Cura;Baixo;Cure 1 de vida. Se você curou alguém neste turno, cure +3 (total 4).;;;1;68  ✓;Folha seca se transformando em broto verde, gotas de orvalho brilhando sob o sol da manhã. Ciclo de renovação da natureza.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;22;Coração da Floresta;Cura;Médio;Cure 5 de vida em todos os aliados (incluindo você).;;;5;52  ✓;Coração pulsante de árvore anciã, energia verde irradiando em ondas, espíritos florestais se aquecendo ao redor.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;23;Sabedoria Antiga;Habilidade;Baixo;Compre 2 cartas.;;;;16  ✓;Livro antigo de capa de madeira, páginas iluminadas com símbolos druídicos, folhas servindo como marcadores.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;24;Sabedoria Antiga;Habilidade;Baixo;Compre 2 cartas.;;;;16  ✓;Livro antigo de capa de madeira, páginas iluminadas com símbolos druídicos, folhas servindo como marcadores.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;25;Polinização;Habilidade;Baixo;Escolha um oponente: ele descarta 1 carta. Você compra 1 carta.;;;;63  ✓;Abelhas douradas voando entre flores, pólen brilhante se espalhando. Atmosfera de primavera, renovação e movimento.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;26;Polinização;Habilidade;Baixo;Escolha um oponente: ele descarta 1 carta. Você compra 1 carta.;;;;63  ✓;Abelhas douradas voando entre flores, pólen brilhante se espalhando. Atmosfera de primavera, renovação e movimento.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;27;Sinfonia da Floresta;Habilidade;Médio;Todos os aliados (incluindo você) compram 1 carta.;;;;50  ✓;Espíritos florestais tocando instrumentos naturais (folhas como flautas, galhos como percussão), ondas sonoras visíveis.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;28;Raízes Ancestrais;Habilidade;Médio;Pegue 1 carta do descarte de qualquer jogador e coloque na mão.;;;;63  ✓;Raízes grossas emergindo do chão, envolvendo grimório enterrado, puxando-o para a superfície. Terra rica e densa.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;29;Despertar da Flora;Especial;Alto;Cure 3 de vida em todos os aliados. Cause 2 de dano em todos os oponentes.;2;;3;74  ✓;Explosão de vida vegetal, flores gigantes desabrochando, videiras se erguendo, luz dourada intensa inundando a cena.
Elixir da Dríade  ·  Session Juice IPA  ·  Curativo / Protetor;30;Pacto da Vida;Especial;Alto;Escolha um aliado (pode ser você). Cure 6 de vida nele. Você sofre 2 de dano.;;;6;77  ✓;Dríade e guerreiro com mãos unidas por feixes de luz verde e vermelha. Atmosfera de sacrifício e união sagrada.
Orvalho de Valirian  ·  Witbier  ·  Ágil / Surpresa;1;Gota Matinal;Ataque;Baixo;Cause 1 de dano.;1;;;16  ✓;Gota de orvalho brilhando em folha, refletindo o nascer do sol. Cores mornas e suaves. Campo de trigo ao amanhecer.
Orvalho de Valirian  ·  Witbier  ·  Ágil / Surpresa;2;Gota Matinal;Ataque;Baixo;Cause 1 de dano.;1;;;16  ✓;Gota de orvalho brilhando em folha, refletindo o nascer do sol. Cores mornas e suaves. Campo de trigo ao amanhecer.
Orvalho de Valirian  ·  Witbier  ·  Ágil / Surpresa;3;Gota Matinal;Ataque;Baixo;Cause 1 de dano.;1;;;16  ✓;Gota de orvalho brilhando em folha, refletindo o nascer do sol. Cores mornas e suaves. Campo de trigo ao amanhecer.
Orvalho de Valirian  ·  Witbier  ·  Ágil / Surpresa;4;Gota Matinal;Ataque;Baixo;Cause 1 de dano.;1;;;16  ✓;Gota de orvalho brilhando em folha, refletindo o nascer do sol. Cores mornas e suaves. Campo de trigo ao amanhecer.
Orvalho de Valirian  ·  Witbier  ·  Ágil / Surpresa;5;Brisa Suave;Ataque;Baixo;Cause 1 de dano. Compre 1 carta.;1;;;32  ✓;Vento suave balançando campos de trigo, folhas voando. Sensação de frescor e movimento livre. Céu azul da manhã.
Orvalho de Valirian  ·  Witbier  ·  Ágil / Surpresa;6;Brisa Suave;Ataque;Baixo;Cause 1 de dano. Compre 1 carta.;1;;;32  ✓;Vento suave balançando campos de trigo, folhas voando. Sensação de frescor e movimento livre. Céu azul da manhã.
